Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed,CurrentPhase
0,0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0,0
2,0,0,0.0,1,0,0.7713494265452028,0
3,0,0,0.0,1,0,1.4229416601359846,0
4,0,0,0.0,1,0,1.8348051707260313,0
5,1,2,0.0,2,0,1.167729356279597,0
6,0,0,0.0,2,0,1.9854697872593534,0
7,0,0,0.0,2,0,2.6996483073802664,0
8,1,2,0.0,3,0,2.4439992860852118,0
9,1,2,0.0,4,0,2.3111076125031103,0
10,0,0,0.0,4,0,3.024712041113525,0
11,0,0,0.0,4,0,3.732925307957339,0
12,1,2,0.0,5,0,3.592108641189988,0
13,0,0,0.0,5,0,4.333249280134849,0
14,0,0,0.0,5,0,5.179704044867475,0
15,0,0,0.0,5,0,6.065184626978525,0
16,2,4,0.0,7,0,4.963432555308884,0
17,0,0,0.0,7,0,5.115344027989997,0
18,0,0,0.0,7,0,5.247426222610407,0
19,1,2,0.0,8,0,4.682209772751714,0
20,1,1,0.125,8,0,5.295897544957481,0
21,1,1,0.25,8,0,5.972043301017844,0
22,2,3,0.3333333333333333,9,0,5.903552480801475,0
23,1,1,0.4444444444444444,9,0,5.857758139017161,0
24,1,1,0.5555555555555556,9,0,5.063512122526583,0
25,1,1,0.6666666666666666,9,0,4.379402321892182,1
26,5,8,0.8181818181818182,11,0,3.319946333645186,1
27,4,6,1.3,10,1,2.643333531160984,1
28,4,6,1.7,10,1,3.073143888677289,1
29,4,6,2.1,10,1,3.2644858355463042,2
30,3,5,1.4,10,1,2.8643360826183306,2
31,5,9,1.6363636363636365,11,1,2.240101458693566,2
32,7,13,1.7692307692307692,13,1,2.237208033339381,2
33,5,9,2.1538461538461537,13,1,2.722459249945465,2
34,5,9,2.5384615384615383,13,1,3.1493540324944074,2
35,6,11,2.7142857142857144,14,1,3.1215926235367575,2
36,7,13,2.6875,16,1,2.6381105501771556,2
37,5,9,3.0,16,1,2.631690518855386,2
38,7,12,3.4375,16,1,2.72000850086762,2
39,8,14,3.6470588235294117,17,1,2.29308386980038,2
40,7,12,4.0588235294117645,17,1,2.2130148086287242,2
41,8,14,4.529411764705882,17,1,2.370609608634343,2
42,10,18,4.777777777777778,18,1,2.5157064282177664,2
43,9,16,5.277777777777778,18,1,2.7749434500224583,2
44,9,16,6.117647058823529,17,2,2.5597819012879124,2
45,10,18,6.277777777777778,18,2,2.694011373872266,2
46,9,16,6.777777777777778,18,2,2.811604802405945,2
47,10,18,6.894736842105263,19,2,2.251280133741441,2
48,11,19,7.473684210526316,19,2,1.8134581760292785,2
49,12,20,7.6,20,2,1.545911726682867,2
50,12,20,8.2,20,2,1.6029977771799602,2
51,12,20,8.8,20,2,1.610832995839592,2
52,14,23,9.5,20,2,1.8117373193169972,2
53,15,25,9.714285714285714,21,2,1.892486908505995,2
54,15,25,9.909090909090908,22,2,1.8444738892834331,3
55,14,23,10.545454545454545,22,2,1.7308740337293187,3
56,15,25,11.227272727272727,22,2,1.7008578183642455,3
