Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed,CurrentPhase
0,0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0,0
2,0,0,0.0,1,0,0.5213782166829333,0
3,0,0,0.0,1,0,1.100724691990763,0
4,0,0,0.0,1,0,1.6615176073973998,0
5,0,0,0.0,1,0,2.642677739961073,0
6,1,2,0.0,2,0,1.7170007918030024,0
7,0,0,0.0,2,0,2.269507826771587,0
8,0,0,0.0,2,0,2.9635439753183164,0
9,0,0,0.0,2,0,3.6928860517509747,0
10,1,2,0.0,3,0,2.869937247945927,0
11,1,2,0.0,4,0,2.7290183888108004,0
12,1,2,0.0,5,0,2.6919117079814896,0
13,0,0,0.0,5,0,3.3499875072506256,0
14,0,0,0.0,5,0,4.03438508156687,0
15,0,0,0.0,5,0,4.1840101056966015,0
16,2,4,0.0,7,0,2.722117529400392,0
17,0,0,0.0,7,0,2.624749516284112,0
18,1,1,0.14285714285714285,7,0,3.1904422906298144,0
19,1,1,0.2857142857142857,7,0,3.670631527404041,0
20,1,1,0.42857142857142855,7,0,4.2098668816198215,0
21,2,3,0.5,8,0,4.232439203980903,0
22,1,1,0.625,8,0,4.788626282774203,0
23,2,3,0.6666666666666666,9,0,4.740178580538163,0
24,1,1,0.7777777777777778,9,0,5.05058945652852,0
25,3,5,0.7272727272727273,11,0,4.17295655167456,1
26,1,1,0.8181818181818182,11,0,3.3166998463983464,1
27,1,1,0.9090909090909091,11,0,2.836368778811234,1
28,3,5,1.1818181818181819,11,0,2.945845640974227,1
29,6,11,1.3076923076923077,13,0,2.8051038184127353,2
30,4,7,1.6153846153846154,13,0,3.247347017690421,2
31,4,7,1.9230769230769231,13,0,3.261904021872523,2
32,4,7,2.230769230769231,13,0,2.916474944873999,2
33,4,7,2.5384615384615383,13,0,2.8422961236702755,2
34,6,11,2.7142857142857144,14,0,2.8710012830343947,2
35,6,10,3.3846153846153846,13,1,2.47155609845489,2
36,8,14,3.3333333333333335,15,1,2.4250624356150987,2
37,6,10,3.7333333333333334,15,1,2.843210952028518,2
38,7,12,3.875,16,1,3.017965751025999,2
39,7,12,4.0,17,1,3.009511781918077,2
40,6,10,4.352941176470588,17,1,3.096576908862581,2
41,7,11,4.764705882352941,17,1,3.2201639079917466,2
42,8,12,5.235294117647059,17,1,3.1853239968439224,2
43,8,12,5.705882352941177,17,1,3.472782620777529,2
44,8,12,6.176470588235294,17,1,3.734152100466345,2
45,10,16,5.947368421052632,19,1,3.312431658859712,2
46,9,14,6.421052631578948,19,1,3.28799796310653,2
47,11,18,6.55,20,1,3.112804394353602,2
48,10,16,7.05,20,1,3.3996132712677403,2
49,10,16,7.55,20,1,3.3688603248511244,2
50,10,16,8.473684210526315,19,2,2.7836348072381893,2
51,11,18,8.55,20,2,2.683907460926034,2
52,12,20,8.666666666666666,21,2,2.6075147937066303,2
53,12,20,8.772727272727273,22,2,2.589177441899665,2
54,12,20,9.272727272727273,22,3,2.1327026895314307,2
55,12,20,9.818181818181818,22,3,2.326288953801685,2
