Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed,CurrentPhase
0,0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0,0
2,0,0,0.0,1,0,0.5298255090601742,0
3,1,2,0.0,2,0,0.7492868517292663,0
4,0,0,0.0,2,0,1.4616647238726728,0
5,0,0,0.0,2,0,2.1766655183164403,0
6,1,2,0.0,3,0,1.935663715742218,0
7,1,2,0.0,4,0,2.127611637057271,0
8,0,0,0.0,4,0,2.907776037900476,0
9,0,0,0.0,4,0,3.663362848048564,0
10,0,0,0.0,4,0,4.426753314241068,0
11,1,2,0.0,5,0,4.138936456269585,0
12,0,0,0.0,5,0,4.68320212029754,0
13,0,0,0.0,5,0,5.388791908262249,0
14,1,2,0.0,6,0,5.097367201589473,0
15,0,0,0.0,6,0,5.048092994537476,0
16,0,0,0.0,6,0,4.900152682149433,0
17,1,1,0.16666666666666666,6,0,4.655034381401358,0
18,2,3,0.2857142857142857,7,0,3.861645220482803,0
19,2,3,0.5714285714285714,7,0,3.857641189442653,0
20,3,5,0.75,8,0,3.829920663344181,0
21,3,5,0.8888888888888888,9,0,3.925148093453174,0
22,2,3,1.1111111111111112,9,0,4.0487405185375,1
23,2,3,1.3333333333333333,9,0,4.3836832658962415,1
24,3,5,1.4,10,0,4.44529654982563,1
25,2,3,1.6,10,0,5.096491213058521,1
26,2,3,1.8,10,0,5.440667516703194,2
27,2,3,2.0,10,0,5.544651078182448,2
28,3,5,2.0,11,0,5.281559100585856,2
29,3,5,2.272727272727273,11,0,5.589735989493343,2
30,5,9,2.1538461538461537,13,0,4.543758997678597,2
31,4,7,2.6666666666666665,12,1,4.070646526348706,2
32,4,7,3.272727272727273,11,2,3.7349434150222205,2
33,6,11,3.076923076923077,13,2,3.283639773499389,2
34,5,8,3.4615384615384617,13,2,3.29982191477547,2
35,4,7,3.6923076923076925,13,2,3.213173522113379,2
36,5,9,3.7142857142857144,14,2,3.2827998389896664,2
37,4,7,4.0,14,2,3.652312510771339,2
38,5,9,4.357142857142857,14,2,4.000949904031559,2
39,5,9,5.076923076923077,13,3,3.65121229204843,2
40,7,13,4.733333333333333,15,3,3.1214506400163753,2
41,6,11,4.75,16,3,3.101392542834603,2
42,5,9,5.0625,16,3,2.9666842885681426,2
43,6,11,5.4375,16,3,2.4614031525396256,2
44,6,10,5.8125,16,3,2.4292612792984647,2
45,9,14,5.823529411764706,17,3,2.4560985301391534,2
46,8,12,6.6875,16,4,2.0734742498311745,2
47,8,12,7.1875,16,4,2.0960419004740563,2
48,8,12,7.6875,16,4,2.0068670030435456,3
49,9,13,8.25,16,4,1.9034402090611011,3
50,10,15,8.294117647058824,17,4,1.7521519211235825,3
51,10,15,8.882352941176471,17,4,1.7028967931381462,3
52,10,15,9.470588235294118,17,4,1.6375491256469512,4
53,10,14,8.058823529411764,17,4,1.897360595974133,4
54,9,12,7.235294117647059,17,4,2.183679109955672,4
55,10,14,7.333333333333333,18,4,2.205380611864689,4
56,10,14,7.421052631578948,19,4,1.943457378992067,4
