step,waiting_vehicles,avg_speed,queue_length,throughput
0,1,12.50,1,0
1,1,11.19,1,0
2,1,9.92,1,0
3,1,8.76,1,0
4,1,7.66,1,0
5,0,8.09,0,0
6,1,7.10,1,0
7,1,7.42,1,0
8,0,7.83,0,0
9,2,6.72,2,0
10,0,8.18,0,0
11,0,8.60,0,0
12,1,7.78,1,0
13,0,8.31,0,0
14,2,8.15,2,0
15,0,7.98,0,0
16,4,4.59,4,0
17,3,3.30,3,0
18,2,4.84,2,0
19,4,5.16,4,0
20,4,5.16,4,0
21,7,4.81,7,0
22,4,5.96,4,0
23,5,5.95,5,0
24,7,5.18,7,0
25,7,5.30,7,0
26,8,5.36,8,0
27,6,5.35,6,0
28,8,4.99,8,1
29,9,4.87,9,0
30,8,4.90,8,0
31,5,4.73,5,0
32,6,4.40,6,0
33,6,4.62,6,0
34,8,4.72,8,2
35,8,5.66,8,0
36,9,4.34,9,0
37,10,4.44,10,0
38,10,4.73,10,0
39,10,4.81,10,0
40,11,4.70,11,0
41,14,3.79,14,0
42,15,2.83,15,0
43,14,3.23,14,0
44,15,2.98,15,0
45,14,2.88,14,0
46,18,2.75,18,1
47,19,3.58,19,1
48,18,3.62,18,2
49,21,3.62,21,0
50,19,3.36,19,1
51,16,2.81,16,0
52,18,2.99,18,1
53,19,3.20,19,0
54,15,3.52,15,0
55,16,2.30,16,0
56,13,2.03,13,0
57,13,1.94,13,1
58,14,1.98,14,0
59,14,1.89,14,0
60,18,2.34,18,0
61,15,2.47,15,0
62,15,2.76,15,0
63,17,2.44,17,0
64,18,2.18,18,0
65,19,1.83,19,1
66,18,1.57,18,1
67,21,1.64,21,2
68,22,1.70,22,0
69,21,1.84,21,0
70,24,1.88,24,2
71,23,1.93,23,0
72,24,2.03,24,2
73,23,2.25,23,1
74,25,2.12,25,1
75,26,1.79,26,0
76,27,1.86,27,2
77,28,2.02,28,1
78,26,2.24,26,1
79,29,1.68,29,0
80,25,1.78,25,2
81,24,1.86,24,0
82,26,1.96,26,0
83,26,2.08,26,1
84,28,1.90,28,1
85,26,2.12,26,1
86,28,2.18,28,0
87,29,2.41,29,1
88,32,2.32,32,1
89,30,2.35,30,0
90,31,2.45,31,0
91,33,3.03,33,0
92,35,2.97,35,0
93,36,2.92,36,0
94,35,3.04,35,0
95,37,3.17,37,0
96,37,3.05,37,2
97,42,1.75,42,0
98,41,2.00,41,1
99,41,2.35,41,1
100,37,2.42,37,1
101,35,2.25,35,1
102,34,1.29,34,0
103,28,1.55,28,0
104,25,1.88,25,0
105,23,1.90,23,0
106,21,2.23,21,0
107,22,2.52,22,0
108,23,2.66,23,1
109,23,2.85,23,0
110,25,3.29,25,0
111,24,3.45,24,0
112,26,3.17,26,0
113,24,3.67,24,0
114,27,3.43,27,0
115,27,3.43,27,1
116,28,4.16,28,2
117,29,3.43,29,3
118,30,3.65,30,1
119,30,3.78,30,2
120,30,4.51,30,1
121,30,4.57,30,2
122,30,4.67,30,3
123,30,4.76,30,3
124,30,5.22,30,1
125,31,5.27,31,3
126,31,5.27,31,0
127,31,5.56,31,2
128,32,5.56,32,1
129,32,5.56,32,0
130,30,5.58,30,0
131,28,5.59,28,2
132,26,5.63,26,1
133,24,5.71,24,1
134,23,5.80,23,0
135,22,5.85,22,1
136,21,5.92,21,0
137,20,6.03,20,0
138,20,6.10,20,0
139,19,6.17,19,0
140,18,6.28,18,0
141,18,7.19,18,0
142,18,7.25,18,0
143,18,7.32,18,0
144,18,7.36,18,0
145,18,7.41,18,0
146,18,7.45,18,1
147,18,7.50,18,1
148,18,7.54,18,1
149,18,7.62,18,1
150,16,7.64,16,2
151,14,7.46,14,0
152,13,7.30,13,1
153,11,7.19,11,1
154,10,7.21,10,1
155,9,7.20,9,0
156,9,7.34,9,1
157,9,7.49,9,0
158,9,7.52,9,1
159,9,7.64,9,0
160,9,7.77,9,0
161,9,7.83,9,0
162,9,7.92,9,0
163,9,8.00,9,0
164,9,8.12,9,0
165,9,8.25,9,0
166,9,9.72,9,2
167,9,9.72,9,1
168,9,9.72,9,1
169,9,9.72,9,0
170,9,9.72,9,1
171,9,9.72,9,2
172,9,9.72,9,1
173,9,9.72,9,0
174,9,9.72,9,0
175,9,9.72,9,2
176,9,9.72,9,1
177,9,9.72,9,1
178,9,9.72,9,0
179,9,9.72,9,0
180,7,9.83,7,0
181,6,11.12,6,0
182,5,11.15,5,0
183,4,11.18,4,0
184,3,11.24,3,0
185,3,11.30,3,0
186,3,11.33,3,0
187,3,11.38,3,0
188,3,11.44,3,0
189,3,11.47,3,0
190,3,11.52,3,0
191,3,11.54,3,0
192,3,11.59,3,0
193,3,11.65,3,0
194,3,12.50,3,0
195,3,12.50,3,0
196,3,12.50,3,1
197,3,12.50,3,1
198,3,12.50,3,0
199,3,12.50,3,1
200,3,12.50,3,0
201,3,12.50,3,1
202,3,12.50,3,0
203,3,12.50,3,1
204,3,12.50,3,0
205,3,12.50,3,1
206,3,12.50,3,0
207,3,12.50,3,0
208,3,12.50,3,0
209,3,12.50,3,0
210,3,12.50,3,0
211,3,12.50,3,0
212,3,12.50,3,0
213,3,12.50,3,0
214,3,12.50,3,0
215,3,12.50,3,0
216,3,12.50,3,0
217,3,12.50,3,0
218,3,12.50,3,0
219,3,12.50,3,0
220,3,12.50,3,0
221,3,12.50,3,0
222,3,12.50,3,0
223,3,12.50,3,0
224,3,12.50,3,0
225,3,12.50,3,0
226,3,12.50,3,0
227,3,12.50,3,0
228,3,12.50,3,0
229,3,12.50,3,0
230,2,12.53,2,0
231,1,12.54,1,0
232,0,12.60,0,0
233,0,12.70,0,0
234,0,12.77,0,0
235,0,12.81,0,0
236,0,12.90,0,0
237,0,13.89,0,0
238,0,13.89,0,0
239,0,13.89,0,0
240,0,13.89,0,0
241,0,13.89,0,0
242,0,13.89,0,0
243,0,13.89,0,0
244,0,13.89,0,0
245,0,13.89,0,0
246,0,13.89,0,1
247,0,13.89,0,0
248,0,13.89,0,1
249,0,13.89,0,1
