step,waiting_vehicles,avg_speed,queue_length,throughput
0,1,12.50,1,0
1,1,11.16,1,0
2,0,11.31,0,0
3,1,10.07,1,0
4,2,8.74,2,0
5,0,9.04,0,0
6,0,9.33,0,0
7,1,9.47,1,0
8,1,9.58,1,0
9,1,9.72,1,0
10,0,10.04,0,0
11,1,8.91,1,0
12,0,9.28,0,0
13,1,9.45,1,0
14,1,8.62,1,0
15,1,9.43,1,0
16,1,9.50,1,0
17,2,8.23,2,0
18,1,8.04,1,0
19,3,6.98,3,0
20,3,7.07,3,0
21,3,7.22,3,0
22,6,7.31,6,0
23,7,7.15,7,0
24,5,6.86,5,0
25,6,5.17,6,0
26,6,4.93,6,1
27,7,4.97,7,0
28,9,3.93,9,0
29,9,3.77,9,0
30,9,4.92,9,0
31,8,5.25,8,0
32,8,5.44,8,0
33,10,5.63,10,1
34,12,5.73,12,0
35,10,5.35,10,0
36,10,5.56,10,0
37,11,5.64,11,0
38,12,4.90,12,0
39,13,4.31,13,0
40,12,3.99,12,0
41,15,4.04,15,0
42,16,4.14,16,0
43,16,3.86,16,0
44,19,3.54,19,0
45,18,3.64,18,0
46,19,3.96,19,1
47,19,3.98,19,0
48,22,3.82,22,2
49,22,3.64,22,0
50,22,3.97,22,1
51,21,4.07,21,0
52,17,4.18,17,0
53,18,4.13,18,0
54,17,2.95,17,0
55,17,3.00,17,0
56,18,3.18,18,0
57,16,3.14,16,0
58,18,2.98,18,0
59,17,2.00,17,0
60,19,2.05,19,0
61,18,2.35,18,0
62,19,2.51,19,0
63,17,2.77,17,0
64,19,2.74,19,0
65,19,2.62,19,0
66,20,2.56,20,2
67,21,2.83,21,1
68,21,2.44,21,1
69,21,2.23,21,0
70,22,1.76,22,1
71,22,1.67,22,1
72,24,1.66,24,1
73,26,1.65,26,2
74,24,1.71,24,1
75,25,1.83,25,1
76,28,1.83,28,0
77,28,2.00,28,2
78,27,2.04,27,0
79,26,1.93,26,1
80,24,1.69,24,0
81,26,1.52,26,1
82,24,1.66,24,1
83,26,1.56,26,1
84,24,1.63,24,0
85,27,1.73,27,0
86,26,2.06,26,2
87,26,2.15,26,0
88,28,1.88,28,1
89,28,2.14,28,0
90,29,2.24,29,1
91,30,1.94,30,0
92,30,2.05,30,0
93,31,2.17,31,0
94,33,2.36,33,0
95,35,2.43,35,0
96,34,2.71,34,1
97,33,2.80,33,1
98,36,2.89,36,1
99,39,1.73,39,1
100,36,1.90,36,2
101,31,2.22,31,0
102,27,2.39,27,1
103,23,2.13,23,0
104,22,2.03,22,0
105,18,2.19,18,0
106,17,2.41,17,1
107,17,2.54,17,0
108,18,2.76,18,0
109,18,3.24,18,0
110,18,3.20,18,0
111,21,2.74,21,0
112,20,2.78,20,0
113,21,2.88,21,0
114,23,2.98,23,0
115,24,3.17,24,1
116,25,3.31,25,3
117,24,4.05,24,0
118,26,4.74,26,4
119,26,4.84,26,1
120,27,6.31,27,3
121,26,6.22,26,2
122,27,6.06,27,2
123,27,5.93,27,1
124,28,5.81,28,2
125,30,5.73,30,1
126,30,5.76,30,4
127,31,5.76,31,1
128,31,5.65,31,3
129,31,5.66,31,0
130,30,5.73,30,0
131,28,5.75,28,2
132,27,5.83,27,0
133,24,5.93,24,0
134,23,6.06,23,0
135,24,6.12,24,0
136,25,6.28,25,0
137,25,6.45,25,0
138,25,6.52,25,0
139,25,6.53,25,0
140,25,6.51,25,0
141,25,7.44,25,0
142,26,7.51,26,0
143,26,8.33,26,0
144,26,8.33,26,0
145,26,8.33,26,1
146,26,8.33,26,1
147,26,8.33,26,0
148,26,8.33,26,1
149,26,8.33,26,1
150,24,8.35,24,1
151,22,8.35,22,1
152,20,8.38,20,0
153,18,8.42,18,2
154,16,8.49,16,1
155,15,8.50,15,0
156,13,8.57,13,0
157,12,8.66,12,0
158,11,8.68,11,0
159,10,8.79,10,0
160,9,8.91,9,0
161,8,8.94,8,0
162,8,9.05,8,0
163,8,9.16,8,0
164,8,9.24,8,0
165,8,9.33,8,2
166,8,9.43,8,0
167,8,9.60,8,1
168,8,9.60,8,1
169,8,10.39,8,1
170,8,10.41,8,1
171,8,10.49,8,0
172,8,10.51,8,2
173,8,10.57,8,0
174,8,10.60,8,1
175,8,10.68,8,1
176,8,11.11,8,1
177,8,11.11,8,2
178,8,11.11,8,0
179,8,11.11,8,1
180,6,11.16,6,1
181,4,11.15,4,0
182,2,11.25,2,1
183,1,11.37,1,0
184,0,11.53,0,1
185,0,11.56,0,1
186,0,11.71,0,0
187,0,11.84,0,0
188,0,12.84,0,0
189,0,12.89,0,0
190,0,12.96,0,0
191,0,12.94,0,0
192,0,13.04,0,0
193,0,13.12,0,0
194,0,13.89,0,0
195,0,13.89,0,0
196,0,13.89,0,1
197,0,13.89,0,1
198,0,13.89,0,2
199,0,13.89,0,0
200,0,13.89,0,2
201,0,13.89,0,0
202,0,13.89,0,1
203,0,13.89,0,0
204,0,13.89,0,1
