step,waiting_vehicles,avg_speed,queue_length,throughput
0,1,12.50,1,0
1,1,11.16,1,0
2,1,9.91,1,0
3,0,10.13,0,0
4,1,8.98,1,0
5,1,7.91,1,0
6,1,6.85,1,0
7,0,7.31,0,0
8,1,7.56,1,0
9,2,7.69,2,0
10,0,8.16,0,0
11,1,6.11,1,0
12,1,6.47,1,0
13,1,7.50,1,0
14,0,7.94,0,0
15,1,6.94,1,0
16,2,6.90,2,0
17,2,5.52,2,0
18,2,5.64,2,0
19,2,6.60,2,0
20,2,6.20,2,0
21,3,5.81,3,0
22,5,5.66,5,0
23,4,5.61,4,0
24,6,5.04,6,0
25,6,5.21,6,0
26,8,5.30,8,0
27,6,5.07,6,1
28,7,5.20,7,0
29,8,5.04,8,0
30,8,4.86,8,1
31,6,4.79,6,0
32,6,4.91,6,0
33,7,5.06,7,1
34,7,5.38,7,0
35,11,6.54,11,0
36,9,6.49,9,1
37,9,6.14,9,0
38,12,5.06,12,0
39,12,3.91,12,0
40,12,3.49,12,0
41,12,3.24,12,0
42,14,3.36,14,0
43,17,3.59,17,0
44,17,3.65,17,0
45,16,3.84,16,0
46,17,3.88,17,2
47,19,3.84,19,0
48,21,3.57,21,2
49,20,3.40,20,0
50,21,2.53,21,0
51,20,2.64,20,0
52,18,2.52,18,0
53,19,2.44,19,0
54,18,2.69,18,0
55,19,2.83,19,0
56,23,2.70,23,0
57,21,2.64,21,0
58,21,2.65,21,0
59,21,2.86,21,0
60,22,2.87,22,0
61,22,2.89,22,0
62,23,2.97,23,0
63,24,3.01,24,0
64,23,3.21,23,0
65,27,3.08,27,1
66,25,2.84,25,1
67,27,2.83,27,0
68,26,3.00,26,1
69,28,2.98,28,2
70,28,3.54,28,0
71,28,3.66,28,2
72,28,3.73,28,1
73,30,3.64,30,1
74,30,3.55,30,1
75,33,2.24,33,0
76,34,2.36,34,1
77,35,1.37,35,0
78,35,1.66,35,0
79,36,1.63,36,1
80,35,1.40,35,1
81,35,1.60,35,0
82,34,1.88,34,0
83,30,2.12,30,0
84,30,2.42,30,0
85,29,2.61,29,0
86,31,2.95,31,0
87,27,3.01,27,0
88,28,2.88,28,0
89,28,2.14,28,0
90,31,1.95,31,0
91,33,1.61,33,0
92,33,1.79,33,0
93,34,1.95,34,0
94,36,2.12,36,0
95,34,2.18,34,0
96,34,2.32,34,1
97,38,3.13,38,1
98,37,3.20,37,2
99,39,3.17,39,0
100,34,3.13,34,2
101,30,2.93,30,1
102,28,2.85,28,1
103,25,2.92,25,1
104,25,2.69,25,1
105,23,2.53,23,1
106,20,2.58,20,1
107,21,2.71,21,1
108,18,2.87,18,1
109,18,2.94,18,0
110,19,3.00,19,0
111,20,3.02,20,0
112,22,3.25,22,0
113,21,3.44,21,0
114,21,3.64,21,0
115,21,3.76,21,1
116,23,3.80,23,3
117,22,3.96,22,1
118,22,4.14,22,2
119,22,4.31,22,3
120,22,5.49,22,1
121,23,5.43,23,2
122,23,4.10,23,2
123,22,4.83,22,3
124,22,4.75,22,2
125,22,5.59,22,0
126,22,5.75,22,3
127,23,5.98,23,3
128,22,6.05,22,2
129,22,6.13,22,0
130,20,6.24,20,3
131,18,6.26,18,1
132,17,6.04,17,0
133,15,4.74,15,2
134,15,6.20,15,1
135,15,6.30,15,2
136,14,6.43,14,0
137,13,6.51,13,0
138,13,5.77,13,0
139,14,5.99,14,0
140,14,6.20,14,0
141,14,7.16,14,0
142,14,6.75,14,0
143,14,6.38,14,0
144,14,6.48,14,0
145,15,6.50,15,1
146,15,6.64,15,1
147,15,6.61,15,0
148,15,6.43,15,2
149,15,6.39,15,0
150,14,6.07,14,2
151,12,5.66,12,0
152,11,5.75,11,2
153,11,5.86,11,0
154,10,5.95,10,1
155,9,7.05,9,1
156,8,7.11,8,0
157,8,7.18,8,1
158,8,7.20,8,0
159,8,7.26,8,0
160,8,7.28,8,0
161,8,7.35,8,0
162,8,7.43,8,0
163,8,7.44,8,0
164,8,7.49,8,0
165,8,7.58,8,1
166,8,7.60,8,0
167,8,7.65,8,2
168,8,8.33,8,1
169,8,8.33,8,0
170,8,8.33,8,1
171,8,8.33,8,1
172,8,8.33,8,0
173,8,8.33,8,0
174,8,8.33,8,1
175,8,8.33,8,0
176,8,8.33,8,1
177,8,8.33,8,0
178,8,8.33,8,1
179,8,8.33,8,0
180,7,8.36,7,0
181,6,8.36,6,0
182,5,8.42,5,0
183,5,8.49,5,0
184,5,8.58,5,0
185,5,8.60,5,0
186,5,8.68,5,0
187,5,8.75,5,0
188,5,9.72,5,0
189,5,9.72,5,0
190,5,9.72,5,0
191,5,9.72,5,0
192,5,9.72,5,0
193,5,9.72,5,0
194,5,9.72,5,0
195,5,9.72,5,0
196,5,9.72,5,1
197,5,9.72,5,0
198,5,9.72,5,1
199,5,9.72,5,0
200,3,9.80,3,1
201,1,9.84,1,0
202,1,10.00,1,0
203,1,10.13,1,0
204,1,10.26,1,0
205,1,11.43,1,0
206,1,12.50,1,0
207,1,12.50,1,0
208,1,12.50,1,0
209,1,12.50,1,0
