Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput
181,-1617.5,448.386,40.404,244
182,-786.0,293.688,31.51,236
183,-963.5,342.928,34.324,225
184,-34.0,181.73,28.418,236
185,-1462.0,506.152,39.566,224
186,-4748.5,864.008,52.316,173
187,-313.0,343.568,43.938,209
188,23.5,190.648,29.84,243
189,-1806.5,481.538,41.47,222
190,-196.5,231.93,32.828,238
191,-1119.5,439.118,45.148,222
192,-4412.0,895.424,58.366,192
193,-2869.0,663.142,53.144,215
194,-1020.5,309.338,30.536,242
195,-1934.5,507.986,44.242,211
196,-955.5,296.274,30.738,227
197,168.5,216.436,31.834,243
198,-2670.0,688.938,47.628,171
199,-2284.0,611.956,49.59,207
200,-2385.5,714.728,59.192,191
201,-5967.0,1121.404,62.532,191
202,-1277.5,558.042,51.996,241
203,-3908.0,910.62,61.15,197
204,-5562.0,1223.8,70.048,195
205,-1566.0,495.07,44.0,218
206,-5172.5,1179.548,64.36,138
207,-2076.0,641.156,52.922,232
208,-2787.5,705.63,54.004,177
209,-5299.5,1044.536,55.002,224
210,-1322.0,519.042,47.23,173
211,-962.5,418.988,38.158,203
212,-1163.0,423.964,37.436,200
213,-1572.0,421.064,36.91,199
214,-918.0,433.646,37.39,190
215,-2128.0,635.56,48.156,202
216,-22.0,201.714,32.276,246
217,-2562.0,599.014,44.956,241
218,-4206.5,881.314,35.666,244
219,-856.0,369.132,38.878,228
220,-3344.0,925.904,67.374,189
221,-5289.5,1076.016,65.558,186
222,-1321.0,524.216,51.628,187
223,-2092.0,572.044,42.254,186
224,-663.0,339.074,34.218,190
225,-2837.0,723.734,52.626,183
226,-3083.5,765.12,47.688,176
227,-253.0,269.464,31.678,243
228,-1468.0,619.854,59.314,192
229,-2588.0,804.606,62.234,182
230,-1526.0,363.016,30.702,227
231,195.5,180.566,34.182,228
232,-1702.0,598.564,56.394,193
233,-2404.0,786.556,61.472,145
234,-849.5,550.386,54.604,188
235,-7545.5,1479.274,67.914,141
236,-4253.0,891.322,61.72,174
237,-3798.5,744.118,48.988,224
238,-7702.0,1246.838,54.178,191
239,-3808.5,982.866,69.574,206
240,-167.5,257.298,34.972,230
241,-4778.0,835.604,47.076,217
242,-3923.0,849.338,53.664,211
243,-5354.5,931.922,52.826,180
244,-2441.5,558.314,39.92,195
245,-2877.5,663.118,50.468,185
246,-3090.0,729.258,51.686,188
247,-8269.5,1402.16,60.32,195
248,-4963.5,1169.268,65.634,183
249,-6725.0,1396.568,60.736,191
250,-4969.0,1202.584,60.288,156
251,-5232.0,1062.606,61.124,205
252,-3232.0,822.43,50.218,172
253,-1292.0,580.674,51.71,175
254,-2352.0,626.914,47.094,197
255,-3565.5,848.004,48.21,174
256,-1252.5,438.66,40.078,220
257,-454.0,491.014,48.298,183
258,-1977.5,573.974,47.314,190
259,-4485.0,806.488,33.426,206
260,-1493.0,394.894,31.286,242
261,-1763.5,642.132,58.93,168
262,-2925.5,630.672,42.504,212
263,-1218.5,341.94,33.678,228
264,-1046.5,407.454,41.048,233
265,-2275.0,632.23,49.42,223
266,-524.0,269.874,34.11,241
267,-140.0,216.612,30.064,254
268,-2486.5,578.09,42.954,228
269,-2334.5,794.628,61.936,216
270,-10872.0,1765.912,67.934,166
271,-804.5,601.198,53.548,126
272,-405.0,342.61,41.256,226
273,-5882.0,1021.538,62.448,147
274,-3738.5,880.462,60.068,166
275,-449.0,363.51,40.682,185
276,-996.0,418.95,36.41,211
277,-2032.5,495.23,36.55,181
278,-219.5,407.63,40.636,186
279,-787.0,354.238,36.404,233
280,-233.5,223.89,29.308,226
281,-96.0,200.2,28.366,241
282,-100.5,257.02,33.182,226
283,-1537.5,486.114,37.038,229
284,-96.0,239.51,33.25,226
285,-2864.5,672.6,48.734,176
286,-320.5,330.586,41.612,227
287,-20.0,152.702,24.112,256
288,-546.0,305.72,35.034,224
289,-3230.0,675.13,46.216,183
290,-3231.0,672.654,43.798,203
291,-3814.0,705.37,42.418,189
292,-2941.5,635.496,39.812,195
293,-1505.0,451.07,35.246,210
294,-2829.0,565.088,32.28,226
295,-368.5,235.948,27.68,225
296,-356.0,262.518,33.978,214
297,10.5,213.284,32.426,230
298,-290.0,222.8,30.706,242
299,-4.0,170.47,28.244,250
300,-4149.0,950.996,62.044,174
301,-2331.0,559.716,39.538,203
302,-6967.5,1251.918,60.78,162
