Episode,TotalReward,Throughput,AvgWaitTime,AvgQueueLength,ThroughputReward,EfficiencyReward,WaitPenalty,BalancePenalty,PolicyLoss,Entropy,AvgPhaseDuration
54,-264.5999999999999,355,21.983318190111202,0,0,0,0,0,-0.23435218632221222,0,24.091660723090172
55,-2154.8,320,30.275483016364582,0,0,0,0,0,-0.5071404576301575,0,26.12352718232256
56,-614.8000000000003,358,22.178833245845897,0,0,0,0,0,-0.06548181921243668,0,19.594943324724834
57,-7.7000000000001165,356,23.87234005725473,0,0,0,0,0,-0.31644773483276367,0,26.28529311129541
58,-544.6000000000004,336,23.28413068156071,0,0,0,0,0,-0.0656399056315422,0,23.912623524665833
59,-1089.2,339,25.046412926549348,0,0,0,0,0,-0.13565076887607574,0,24.040765705673646
60,-2076.7000000000003,331,22.33622231099251,0,0,0,0,0,-0.042183972895145416,0,18.624112563000786
61,-677.2000000000002,351,23.8934531993496,0,0,0,0,0,-0.26798170804977417,0,21.294554913416505
62,-1274.8000000000002,338,23.459663606700335,0,0,0,0,0,-0.37857693433761597,0,19.25266196128241
63,-1007.1000000000001,344,22.568222307770515,0,0,0,0,0,-0.5388070344924927,0,20.386876834601892
64,-2747.2000000000003,346,24.51200454589147,0,0,0,0,0,0.055386465042829514,0,19.386636164299276
65,-2507.4000000000005,301,26.492013241554723,0,0,0,0,0,-0.7174439430236816,0,21.256306778639555
66,-796.5000000000003,354,19.307367395111203,0,0,0,0,0,-0.21960167586803436,0,17.411588739765726
67,-1035.1000000000001,369,19.690116067144373,0,0,0,0,0,-0.18839652836322784,0,15.865293311722139
68,-287.4000000000001,352,18.467225390757445,0,0,0,0,0,-0.16665194928646088,0,17.595350892161544
69,-1771.6999999999996,330,21.575727102671618,0,0,0,0,0,-0.4925275146961212,0,18.054158851180386
70,-703.6999999999999,341,22.05458445104212,0,0,0,0,0,-0.3558933734893799,0,19.53223977151305
71,-905.4000000000001,358,22.86502383529398,0,0,0,0,0,-0.25100770592689514,0,19.54017987604751
72,-854.3000000000001,348,23.423955798784032,0,0,0,0,0,-0.14236798882484436,0,21.79369362978599
73,-857.8000000000001,357,21.85049590732014,0,0,0,0,0,-0.41999351978302,0,18.985733245076105
74,-1161.8,328,21.090207096061214,0,0,0,0,0,-0.11478736251592636,0,17.843363042110983
75,-1435.4000000000003,348,20.224749305861636,0,0,0,0,0,-0.4697718620300293,0,16.591940048549855
76,-3036.9999999999995,305,23.092369740690827,0,0,0,0,0,-0.45896562933921814,0,17.274640663526952
77,-967.9000000000002,341,20.01331141143126,0,0,0,0,0,0.05035455897450447,0,16.35325719735452
78,-1266.1000000000004,347,23.938704236765503,0,0,0,0,0,-0.15602417290210724,0,21.17965651769191
79,-1371.8000000000002,328,19.386022427728097,0,0,0,0,0,-0.4940200746059418,0,16.33984008729458
80,-3723.5,292,15.883097270730152,0,0,0,0,0,-0.5648795366287231,0,11.356854780055018
81,-2783.2999999999997,297,19.54465135613035,0,0,0,0,0,-0.6890950798988342,0,14.743426553818777
82,-2700.899999999999,331,14.320528686094233,0,0,0,0,0,-0.9422024488449097,0,10.638108456740156
83,-3948.4999999999995,315,18.968476588860774,0,0,0,0,0,-0.40308964252471924,0,13.607725021268788
84,-1938.999999999999,320,20.216898978008754,0,0,0,0,0,-0.22461749613285065,0,15.952644040808082
85,-1997.1000000000001,332,16.12746095934339,0,0,0,0,0,-0.5396986603736877,0,12.065644402884775
86,-2232.1,286,22.097807184312853,0,0,0,0,0,-0.04450560733675957,0,17.65787841671187
87,-1639.8000000000002,356,20.250086868877535,0,0,0,0,0,-0.4172227680683136,0,15.504940662067384
88,-2916.7999999999997,306,20.935905900336003,0,0,0,0,0,-0.3554644286632538,0,15.41253617606484
89,-774.3000000000002,354,21.855705720534672,0,0,0,0,0,-0.16762655973434448,0,18.852764609354463
90,-3075.100000000001,291,17.968553357700827,0,0,0,0,0,-0.5311987400054932,0,13.566344781810868
91,-1043.8000000000002,331,19.550467986413434,0,0,0,0,0,-0.1334996074438095,0,17.534811751560326
92,-414.3000000000003,354,19.437640179257173,0,0,0,0,0,-0.3774641156196594,0,18.127936069732126
93,-1885.8999999999996,325,24.23747951489884,0,0,0,0,0,-0.3383844196796417,0,19.678999625233022
94,-2101.4000000000005,334,20.53930530859132,0,0,0,0,0,-0.18956272304058075,0,15.593041402842992
95,-9.600000000000222,365,24.18094634925367,0,0,0,0,0,-0.4703161418437958,0,23.82502957350678
96,-1966.1000000000001,339,20.241903531001565,0,0,0,0,0,-0.406438946723938,0,15.980470782949352
97,-1254.3999999999999,352,21.85787888255746,0,0,0,0,0,-0.6298120617866516,0,18.9489408434284
98,-1485.4000000000003,318,25.536158234360432,0,0,0,0,0,-0.0661870539188385,0,21.983723709216484
99,-414.5999999999999,327,21.365763215245842,0,0,0,0,0,-0.4464420974254608,0,19.5435768738389
100,-2000.9999999999995,335,27.9744298563424,0,0,0,0,0,-0.02970893867313862,0,24.10139837819669
101,-1037.0000000000005,282,26.8359858533949,0,0,0,0,0,-0.2597147524356842,0,25.19152132465559
102,-2321.6,328,23.525610035354315,0,0,0,0,0,-0.31266647577285767,0,19.943501049031813
103,-1776.1000000000008,339,30.196759477893977,0,0,0,0,0,-0.7281971573829651,0,27.104297005571425
104,-3096.3,317,21.02043520296179,0,0,0,0,0,-0.8840779066085815,0,15.917146523647448
105,-103.89999999999995,352,22.248956593738992,0,0,0,0,0,-0.35857200622558594,0,22.624485266247863
106,-1195.6,337,21.971692662894124,0,0,0,0,0,-0.49850088357925415,0,19.434858510891598
107,-629.7000000000003,329,22.929221633228842,0,0,0,0,0,-0.4136257767677307,0,23.398193541086382
108,-708.7,346,24.992873937043733,0,0,0,0,0,-0.3249646723270416,0,24.482678055763245
109,-2360.9,330,21.33227564541652,0,0,0,0,0,-0.01811467856168747,0,17.14597960894412
110,-2040.3,333,25.230555643572387,0,0,0,0,0,-0.28472134470939636,0,20.722572250155412
111,-944.3000000000002,344,25.74448839313954,0,0,0,0,0,-0.5776229500770569,0,24.221824126111137
112,-81.90000000000032,368,20.164252522980842,0,0,0,0,0,-0.37981539964675903,0,19.304091581251733
113,-3406.800000000001,317,23.807211345857638,0,0,0,0,0,-0.484017550945282,0,19.051177044907078
114,-1949.2,334,23.58105222470862,0,0,0,0,0,-0.19164994359016418,0,19.848017456630867
115,-563.3999999999997,351,28.245881110350556,0,0,0,0,0,-0.43201616406440735,0,27.374949217773974
116,-385.70000000000044,358,23.416586304859504,0,0,0,0,0,-0.42750808596611023,0,24.776556104421616
117,-303.4,317,23.27116162474835,0,0,0,0,0,-0.6646047830581665,0,30.411973749769146
118,-674.7000000000003,353,24.041971721217305,0,0,0,0,0,-0.8021941781044006,0,24.930458515882492
119,-1019.8000000000002,337,26.772784979580376,0,0,0,0,0,-0.1957404464483261,0,27.85093968914401
120,-1471.8000000000002,324,23.328215894351747,0,0,0,0,0,-0.5124491453170776,0,20.721009638069606
121,-351.3000000000001,367,26.798092565560804,0,0,0,0,0,-0.6330980658531189,0,28.079971267331032
122,-306.90000000000026,351,23.189053270431824,0,0,0,0,0,-0.9026358723640442,0,24.95828801393509
123,-779.7,345,24.632588165184703,0,0,0,0,0,-0.33225107192993164,0,22.856732100449705
124,-613.1000000000003,340,27.00358183187537,0,0,0,0,0,-0.4741361141204834,0,28.500499614784793
125,-937.9999999999997,357,28.338328829439977,0,0,0,0,0,-0.9513545632362366,0,30.648408085107803
126,-316.5999999999999,355,25.58081007823906,0,0,0,0,0,-0.8029770851135254,0,30.505356752666934
127,-793.0000000000001,318,29.215108903389805,0,0,0,0,0,-0.27195465564727783,0,32.659913345619486
128,-608.3000000000004,339,27.734089155932,0,0,0,0,0,-0.75101637840271,0,34.310637225325294
129,-1008.9000000000001,346,29.3812337502942,0,0,0,0,0,-0.8020310401916504,0,33.23450595140457
130,-583.5,319,26.372614982639842,0,0,0,0,0,-0.5892623662948608,0,32.67326505647765
131,-1580.1999999999996,323,32.41985363585006,0,0,0,0,0,-0.33465826511383057,0,34.25018573036561
132,77.19999999999999,320,24.570105392726337,0,0,0,0,0,-0.1255054473876953,0,32.45731443166733
133,-446.0999999999998,328,26.665711674853192,0,0,0,0,0,-1.3480368852615356,0,34.17224541306496
134,-1114.1999999999998,330,32.665862412505156,0,0,0,0,0,-0.6385400891304016,0,37.153329737484455
135,-806.9999999999994,366,30.690038874000738,0,0,0,0,0,-1.2016373872756958,0,35.357741713523865
136,183.69999999999993,322,23.346457063206373,0,0,0,0,0,-0.42098483443260193,0,32.84725476194311
137,-1450.1000000000004,282,37.001032521617944,0,0,0,0,0,-0.23142880201339722,0,36.52819938957691
138,-2104.7000000000007,289,37.10351356594004,0,0,0,0,0,-1.1698461771011353,0,38.59274765719538
139,-169.70000000000016,338,29.188035534503655,0,0,0,0,0,-1.7424741983413696,0,36.969898069898285
140,-481.39999999999986,321,26.727333459515002,0,0,0,0,0,-1.78706693649292,0,35.31927842497826
141,-278.5,332,28.407784558687386,0,0,0,0,0,-1.4069916009902954,0,37.363173961639404
142,-583.5,350,31.79542256453964,0,0,0,0,0,-0.7546656727790833,0,38.03024999797344
143,-864.2000000000004,336,30.755544112840052,0,0,0,0,0,-1.0308997631072998,0,34.969165271520616
144,-220.70000000000005,328,27.637068048795722,0,0,0,0,0,-1.0975418090820312,0,36.2448610663414
145,-169.10000000000025,338,27.063472698961696,0,0,0,0,0,-1.1487126350402832,0,35.071844565868375
146,245.29999999999973,322,22.382889292448052,0,0,0,0,0,-1.1142321825027466,0,31.869511665017516
147,-377.70000000000005,324,28.402893032730287,0,0,0,0,0,-0.9752142429351807,0,35.144513034820555
148,-689.8,343,30.454937867981613,0,0,0,0,0,-0.6420525908470154,0,36.66555402800441
149,-106.40000000000016,326,22.659945288973056,0,0,0,0,0,-1.2138960361480713,0,31.166141517460346
150,-249.90000000000032,121,23.12893688276554,0,0,0,0,0,-1.3813304901123047,0,31.768376502123747
