Episode,TotalReward,AvgWaitingTime,AvgQueueLength,Throughput
174,-24842.0,2077.756,84.896,100
175,-34109.0,2558.918,87.134,64
176,-25095.0,2382.602,86.624,95
177,-28167.0,2201.872,91.488,84
178,-20701.0,1866.324,80.596,98
179,-20165.0,1701.546,85.144,83
180,-24194.0,1970.946,84.334,89
181,-23498.0,2159.614,89.246,82
182,-23178.0,1940.844,87.638,80
183,-30454.0,2588.108,78.422,78
184,-25023.0,2345.064,91.704,87
185,-18046.0,1553.378,78.788,87
186,-23786.0,2012.828,85.566,86
187,-25200.0,1966.378,82.512,99
188,-23984.0,2018.55,84.352,94
189,-24217.0,2184.674,88.078,75
190,-23747.0,2062.7,91.066,73
191,-27149.0,2320.536,90.318,72
192,-22257.0,2254.056,88.292,82
193,-31350.0,2540.078,85.19,80
194,-21289.0,1857.758,83.53,79
195,-30970.0,2621.988,89.374,82
196,-33073.0,2758.464,93.394,82
197,-50007.0,3923.256,99.116,47
198,-38485.0,3480.728,96.35,74
199,-25687.0,2117.718,88.758,84
200,-34195.0,2605.592,92.22,81
201,-36973.0,2970.304,89.206,70
202,-37726.0,2857.086,91.242,62
203,-34346.0,2638.372,90.354,75
204,-38698.0,2790.76,93.068,73
205,-15927.0,1595.912,87.062,86
206,-23402.0,1978.032,86.738,82
207,-44597.0,4212.858,92.764,65
208,-33291.0,2566.258,91.14,55
209,-32862.0,2686.698,89.086,70
210,-41833.0,3326.718,98.13,56
211,-32548.0,2559.738,95.584,68
212,-48162.0,4170.512,92.522,53
213,-34538.0,2851.484,90.048,65
214,-27323.0,2181.768,82.9,82
215,-31348.0,2257.592,91.574,59
216,-37231.0,3856.89,85.314,67
217,-42019.0,3251.482,94.258,60
218,-27405.0,2225.55,92.63,83
219,-44506.0,3486.5,91.702,53
220,-38065.0,3038.604,88.096,65
221,-29265.0,2244.514,88.31,66
222,-29201.0,2256.734,86.724,57
223,-43174.0,3526.79,98.816,54
224,-46264.0,3435.158,98.172,53
225,-42975.0,3339.97,91.126,63
226,-29305.0,2388.686,95.006,63
227,-46378.0,3265.786,92.508,60
228,-30562.0,2759.456,90.3,69
229,-35767.0,2952.904,85.112,57
230,-33867.0,2454.974,86.664,63
231,-50010.0,4366.536,97.962,42
232,-50080.0,5517.078,93.268,56
233,-46207.0,3940.014,96.504,58
234,-61077.0,5192.608,102.606,41
235,-53823.0,4891.528,97.446,48
236,-53070.0,4334.406,98.858,51
237,-45101.0,4073.324,95.396,52
238,-46345.0,3741.618,99.102,52
239,-47868.0,5070.484,92.274,56
240,-44703.0,3639.148,96.344,53
241,-28252.0,2422.178,88.456,73
242,-29937.0,2406.42,90.806,67
243,-52556.0,5205.74,94.462,55
244,-60043.0,5917.536,93.466,54
245,-36691.0,2835.382,93.088,54
246,-42239.0,3422.484,95.45,47
247,-39959.0,2906.41,95.982,67
248,-42738.0,3602.714,93.728,42
249,-44935.0,4329.812,97.476,56
250,-50303.0,5925.646,101.28,42
251,-47017.0,3918.194,98.102,37
252,-38991.0,3241.326,85.2,59
253,-53270.0,5458.112,92.73,35
254,-49703.0,4269.57,102.946,46
255,-35817.0,3584.496,95.228,59
256,-47621.0,3731.776,90.016,44
257,-37683.0,2949.114,94.294,53
258,-44037.0,3571.508,98.036,59
259,-39569.0,3032.328,97.212,51
260,-42375.0,3421.984,96.234,55
261,-50524.0,4426.52,95.09,52
262,-35363.0,3106.824,96.396,75
263,-45034.0,3746.968,97.986,63
