Episode,TotalReward,Throughput,AvgWaitTime,AvgQueueLength,ThroughputReward,EfficiencyReward,WaitPenalty,QueuePenalty,PolicyLoss,Entropy,AvgPhaseDuration
1,4657.010407661143,335,23.038924762068863,2.833887043189369,10326.125852222278,0,5344.200000000002,324.91544456113536,-0.07204709947109222,0,19.316851057891927
2,3632.0157156268806,307,21.64885012966765,2.8537414965986394,9189.395709592096,0,5110.8,446.57999396521444,-0.3245914578437805,0,18.96170660853386
3,5658.805118731554,339,20.919506650977436,3.0255102040816326,11109.429435194075,0,5086.0,364.6243164625224,-0.27685636281967163,0,19.44442288018763
4,3317.2673644553374,325,25.73982317427473,3.3590733590733586,9577.420350021066,0,5771.8,488.3529855657266,-0.1798735409975052,0,22.61050556056403
5,5186.383503669484,303,19.07006082889063,2.4523809523809526,9736.915757265051,0,4216.1,334.4322535955672,-0.14548727869987488,0,17.822218070841497
6,4741.021994567079,307,22.53652375565526,2.8438538205980066,10437.5535011208,0,5238.199999999999,458.33150655372094,-0.2171798050403595,0,18.823229296262873
7,5532.921909004964,323,21.55105986321441,2.9437689969604866,11508.365426344324,0,5503.9,471.54351733936164,-0.04328267276287079,0,17.07002091518742
8,5076.98953018803,329,23.133384714500156,2.552631578947368,9849.727630507969,0,4461.9000000000015,310.8381003199415,-0.33203771710395813,0,21.958394838791143
9,2598.833339985249,334,23.523682752211393,2.9200680272108848,9132.214247612332,0,6089.0,444.38090762708447,-0.3490113615989685,0,19.769350700080395
10,996.9325055174072,287,29.815610161244006,3.5753968253968247,8655.928394855182,0,7098.4,560.5958893377763,-0.09354749321937561,0,23.170614747537506
11,5120.238109461049,340,21.89007816479361,2.813186813186813,10081.216926679466,0,4618.9,342.07881721841414,-0.30708786845207214,0,21.2579034612729
12,4432.96987537347,268,23.042514301940482,2.536544850498339,9586.470864393774,0,4774.799999999999,378.70098902030435,-0.15244974195957184,0,18.92855552046798
13,2588.680981128928,299,26.52839539001732,2.859073359073359,8586.60034862579,0,5611.300000000002,386.619367496863,-0.3418629765510559,0,22.566623011150874
14,1796.1456616124551,314,28.38066460161194,2.7818532818532815,7762.2724069270125,0,5596.300000000001,369.8267453145574,-0.31607338786125183,0,22.98208885498949
15,1578.9504300740932,322,25.699252017921193,3.3253968253968256,8151.265874635229,0,6113.6,458.7154445611354,-0.2137289047241211,0,23.49778255240785
16,1692.9833138893894,270,25.78664423132346,3.4219269102990033,9607.079520564059,0,7326.000000000001,588.0962066746685,-0.3135123550891876,0,19.142187955074533
17,1164.6425022991657,262,25.926377173682468,3.1744186046511627,8443.706863976751,0,6717.6,561.4643616775832,0.06194034963846207,0,19.08357947371727
18,2847.5403404737253,320,24.137996043213118,2.8684210526315788,8368.57509827976,0,5129.299999999999,391.7347578060365,-0.33014431595802307,0,22.01239611757429
19,3146.5269944242295,295,23.154371521554,3.3095238095238093,9650.500620698527,0,5933.999999999999,569.9736262742967,-0.20200756192207336,0,19.41499635577202
20,2408.3670825436275,331,24.218187025543035,2.49034749034749,7381.4051828635675,0,4669.000000000001,304.03810031994146,0.07619383186101913,0,23.055208091800278
21,4482.720825684769,310,22.25701824409914,2.229323308270676,8537.039370781355,0,3822.5000000000005,231.81854509658237,-0.30393755435943604,0,21.31332081791602
22,1859.3164251555547,342,26.63557358464554,2.867965367965368,7025.436222357371,0,4849.0,317.11979720181694,0.05643860623240471,0,25.94970611008731
23,3688.3893663121194,291,21.023800499042604,2.4267857142857143,8229.989925627468,0,4232.7,308.9005593153503,-0.18529805541038513,0,20.285078266635537
24,3125.607622767146,268,23.520677895255556,2.722222222222222,9320.08208734488,0,5729.899999999999,464.57446457773233,-0.3614940941333771,0,18.19895165827539
25,2207.118924429499,332,24.47603751187185,3.0651260504201683,7549.650506341654,0,4967.0,375.5315819121552,-0.37720513343811035,0,24.44225244662341
26,926.7811587989044,314,30.26831842946095,2.944196428571429,6843.4920087409,0,5559.499999999999,357.21084994199566,-0.18967999517917633,0,27.072065647225827
27,2821.376047669801,344,25.049523697321046,3.3822393822393826,9090.471244217691,0,5833.400000000002,435.695196547892,-0.07530364394187927,0,22.969027870410198
28,3634.849587709224,321,23.54270167500111,2.832752613240418,9495.399306119483,0,5460.9,399.6497184102558,-0.3792567253112793,0,20.191050751543628
