Episode,TotalReward,Throughput,AvgWaitTime,AvgQueueLength
120,-17731.0,243,8.226886210562178,3.1469155844155847
121,-16484.0,228,8.354335682657318,2.8498376623376624
122,-17095.0,223,8.1977430318374,2.960227272727273
123,-16078.0,220,8.343989680695183,2.8449675324675323
124,-14871.0,214,8.279525151056227,2.6550324675324677
125,-16709.0,211,8.299850198903663,2.9001623376623376
126,-19172.0,225,8.400666707426979,3.3092532467532463
127,-17777.0,234,8.796780748544434,3.133928571428571
128,-16252.0,225,8.332245870920968,2.864448051948052
129,-13929.0,221,8.0971385819725,2.448051948051948
130,-19522.0,245,8.375219338848472,3.397727272727273
131,-13958.0,230,8.177152578142426,2.5527597402597406
132,-15478.0,219,8.162391642489617,2.75487012987013
133,-18242.0,237,8.387452730325402,3.160714285714285
134,-12937.0,244,8.046744281493336,2.3741883116883113
135,-15168.0,230,8.160215772733553,2.780844155844156
136,-14073.0,232,8.320553961408184,2.5332792207792205
137,-17978.0,241,8.363503148446249,3.1412337662337664
138,-18841.0,230,8.405159804220942,3.3125
139,-16003.0,232,8.25479511629349,2.87012987012987
140,-15399.0,240,8.40321537954823,2.7597402597402594
141,-16124.0,249,8.097959410123188,2.926948051948052
142,-18857.0,253,8.0184222841392,3.3676948051948057
143,-16480.0,215,8.35874458404475,2.8823051948051948
144,-18139.0,231,8.337975955115908,3.178571428571428
145,-15919.0,242,8.209202564641952,2.87012987012987
146,-16865.0,233,8.231243937393735,2.997564935064935
147,-15894.0,222,8.293854671619322,2.814935064935065
148,-18893.0,248,8.240652248880055,3.3555194805194803
149,-15028.0,220,8.136183825692388,2.6574675324675323
150,-15782.0,226,8.190990278441847,2.82224025974026
151,-14825.0,227,8.16286140594222,2.666396103896104
152,-18142.0,232,8.295834329462764,3.1525974025974026
153,-15523.0,229,8.268464500496382,2.781655844155844
154,-20427.0,216,8.631698028430215,3.462662337662337
155,-18010.0,236,8.255790810769556,3.1712662337662336
156,-19661.0,245,8.422690077052494,3.4212662337662336
157,-14858.0,236,8.138471266147603,2.743506493506494
158,-16245.0,229,8.526764065661377,2.8344155844155847
159,-17804.0,237,8.453520684524038,3.1347402597402594
160,-19982.0,240,8.325962787644764,3.4853896103896105
161,-19025.0,235,8.086659530559285,3.350649350649351
162,-13937.0,236,8.17481299129799,2.582792207792208
163,-20893.0,203,8.477613329355018,3.52435064935065
164,-20680.0,259,8.07953996023312,3.5527597402597397
165,-17349.0,233,8.323083312250601,3.0826645264847508
166,-15448.0,220,8.335760730460038,2.7581168831168834
167,-19556.0,235,8.601081740873571,3.375
168,-16670.0,221,8.580296781226542,3.0
169,-18163.0,242,8.483606545404534,3.154220779220779
170,-16214.0,238,8.156047583260635,2.9125200642054576
171,-16103.0,225,8.288998678152147,2.8579545454545454
172,-21687.0,246,8.339254893977254,3.6749598715890843
173,-15187.0,225,8.377393026178988,2.6613162118780096
174,-15301.0,227,8.174998394561996,2.7319422150882824
175,-19701.0,234,8.52251513975283,3.369181380417336
176,-16560.0,220,8.430725649761461,2.929373996789727
177,-18461.0,253,8.262080447731394,3.2335473515248796
178,-16328.0,233,8.285158542160161,2.865971107544141
179,-15284.0,236,8.236933757249401,2.7536115569823436
180,-21501.0,230,8.348851611857562,3.6420454545454546
181,-20238.0,226,8.231779916726621,3.4139610389610393
182,-18299.0,240,8.392263624568278,3.1842532467532463
183,-17747.0,227,8.239264280211087,3.0430194805194803
184,-16887.0,228,8.217842235897166,2.9775280898876413
185,-16067.0,227,8.204690562654084,2.813804173354735
186,-17118.0,225,8.098708838160318,3.0162337662337664
187,-16432.0,235,8.451960245760759,2.8852327447833064
188,-16514.0,229,8.521319246880923,2.9149277688603528
189,-17873.0,242,8.563527993618438,3.1163723916532904
190,-16880.0,235,8.338189533646766,2.9727126805778488
191,-17403.0,242,8.128374117619796,3.1347402597402603
192,-14857.0,237,8.462000166546687,2.6556982343499196
193,-18552.0,228,8.287280838546229,3.2295345104333872
194,-15071.0,219,8.304465561280523,2.7054574638844304
195,-18403.0,233,8.108329728602529,3.154895666131621
196,-20397.0,235,8.29204117754195,3.479935794542536
197,-16858.0,231,8.380266628493297,2.9815409309791328
198,-19071.0,224,8.581819804020476,3.253611556982343
199,-16520.0,226,8.103009476306354,2.94237012987013
200,-16657.0,239,8.021723820819027,2.9431818181818183
