Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed
0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0
2,1,2,0.0,2,0,0.30999663672409955
3,0,0,0.0,2,0,1.0725392136955634
4,0,0,0.0,2,0,1.7155486823990942
5,0,0,0.0,2,0,2.3459892975515686
6,1,2,0.0,3,0,1.9207857699987168
7,0,0,0.0,3,0,2.399798673436275
8,0,0,0.0,3,0,2.991294720992365
9,0,0,0.0,3,0,3.6865594513465147
10,0,0,0.0,3,0,4.274731224773681
11,1,2,0.0,4,0,3.6321288930938436
12,0,0,0.0,4,0,4.307151699111214
13,0,0,0.0,4,0,5.059875120517914
14,0,0,0.0,4,0,5.764923033535829
15,0,0,0.0,4,0,6.5160892384053435
16,2,4,0.0,6,0,4.722719772756642
17,0,0,0.0,6,0,5.414329955855851
18,0,0,0.0,6,0,5.414561841594124
19,0,0,0.0,6,0,6.003241715399693
20,1,2,0.0,7,0,5.840537083108968
21,0,0,0.0,7,0,6.546215663883495
22,0,0,0.0,7,0,6.708283878839823
23,0,0,0.0,7,0,7.37411591531401
24,1,2,0.0,8,0,7.034325550303255
25,0,0,0.0,8,0,7.737520633978637
26,0,0,0.0,8,0,8.31138577836391
27,0,0,0.0,7,1,7.315017560717235
28,1,2,0.0,7,2,4.79533276604012
29,1,2,0.14285714285714285,7,2,4.8175074270598595
30,2,4,0.25,8,2,4.178640575765684
31,2,4,0.5,8,2,4.1369270836607015
32,2,4,0.8571428571428571,7,3,2.5979651804264816
33,3,5,1.2857142857142858,7,3,2.671309219621805
34,3,5,1.7142857142857142,7,3,3.0119353501797232
35,3,5,2.142857142857143,7,3,3.3510908782652984
36,4,7,2.25,8,3,3.2330269740926108
37,3,5,2.625,8,3,3.5359284337946137
38,3,5,3.0,8,3,3.9162087605190736
39,3,5,3.375,8,3,3.1739971565227387
40,5,9,3.0,10,3,1.5613185897649327
41,3,5,3.3,10,3,1.2525889294170558
42,5,9,3.8,10,3,1.3307603940800372
43,6,11,3.909090909090909,11,3,1.5155959232907088
44,6,11,4.454545454545454,11,3,1.8434888824572608
45,7,13,4.583333333333333,12,3,2.079919436041179
46,6,11,5.083333333333333,12,3,2.5225137266988544
47,6,11,5.583333333333333,12,3,2.9532047734025126
48,6,11,6.083333333333333,12,3,3.0707576517755615
49,7,13,6.076923076923077,13,3,2.905522004926172
