Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed
0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0
2,0,0,0.0,1,0,0.7713494265452028
3,0,0,0.0,1,0,1.4229416601359846
4,0,0,0.0,1,0,1.8348051707260313
5,1,2,0.0,2,0,1.167729356279597
6,0,0,0.0,2,0,1.9854697872593534
7,1,2,0.0,3,0,1.799765538253511
8,0,0,0.0,3,0,2.6474359225093695
9,0,0,0.0,3,0,3.3139559790026394
10,1,2,0.0,4,0,2.908471145828778
11,0,0,0.0,4,0,3.6358744179706846
12,0,0,0.0,4,0,4.131944987579147
13,0,0,0.0,4,0,4.913192286563405
14,2,4,0.0,6,0,3.616316541010691
15,0,0,0.0,6,0,4.218806678661078
16,0,0,0.0,6,0,4.914730218595156
17,0,0,0.0,6,0,5.42534104678779
18,0,0,0.0,6,0,5.690522828813694
19,0,0,0.0,6,0,5.978458721323755
20,1,2,0.0,7,0,5.332527387033563
21,1,2,0.0,8,0,4.550338106293538
22,0,0,0.0,8,0,4.402176304629728
23,2,3,0.1111111111111111,9,0,3.978016379702966
24,2,3,0.2,10,0,4.1640420304287735
25,1,1,0.3,10,0,4.545228907831149
26,2,3,0.36363636363636365,11,0,4.361369276575802
27,2,3,0.4166666666666667,12,0,4.29068994253467
28,2,3,0.5,12,1,3.748804263236583
29,2,2,0.6666666666666666,12,1,4.313968175960974
30,2,2,0.8333333333333334,12,1,4.394582758395934
31,3,4,1.0,12,2,3.792999535078271
32,2,2,1.1666666666666667,12,2,4.403357774408908
33,3,4,1.2307692307692308,13,2,4.66228713847737
34,3,4,1.2857142857142858,14,2,4.8974180930521145
35,0,0,0.0,14,2,4.874427339293783
36,0,0,0.0,14,2,4.4580677995808555
37,3,6,0.0625,16,2,3.80369309649703
38,2,4,0.1875,16,2,4.155752507990913
39,3,6,0.375,16,2,4.52485416212123
40,3,6,0.5625,16,2,4.958632127881924
41,3,6,0.8,15,3,4.979172453628037
42,4,8,0.9375,16,3,4.294053150837534
43,3,6,1.125,16,3,3.6932738594551986
44,5,8,1.4375,16,3,3.4515415091114297
45,8,14,1.7647058823529411,17,3,3.3097532550466573
46,7,12,2.176470588235294,17,3,3.3940589342198337
47,7,12,2.588235294117647,17,3,3.492012905736754
48,8,13,3.0588235294117645,17,3,3.6637871343091684
49,9,15,3.3333333333333335,18,3,3.7712407040729072
