Run,TotalThroughput,AvgWaitTime,AvgQueueLength,AvgSpeed,PhasesCompleted,AvgPhaseDuration,MaxWaitTime,MaxQueueLength
1,327,18.73920843728929,39.317,1.7211870461805554,46,17.804347826086957,59.026315789473685,69
2,320,17.010975682664924,33.108,1.8118276630091241,47,17.340425531914892,49.82142857142857,75
3,347,15.917506020280108,30.219,2.0407098670606043,47,17.29787234042553,66.07692307692308,65
