Step,WaitingVehicles,QueueLength,AvgWaitTime,TotalVehicles,CumulativeThroughput,AvgSpeed
0,0,0,0,0,0,0
1,1,2,0.0,1,0,0.0
2,1,2,0.0,2,0,0.2119302036240697
3,0,0,0.0,2,0,0.840476177178789
4,0,0,0.0,2,0,1.4054497612174601
5,0,0,0.0,2,0,1.8744191537087318
6,1,2,0.0,3,0,1.4941694779282748
7,1,2,0.0,4,0,1.4627699536504224
8,0,0,0.0,4,0,2.0711364068934923
9,0,0,0.0,4,0,2.7486764522385783
10,1,2,0.0,5,0,2.698761828292627
11,0,0,0.0,5,0,3.339458919628523
12,0,0,0.0,5,0,4.044022224107757
13,0,0,0.0,5,0,4.584882090336177
14,1,2,0.0,6,0,4.307358755997847
15,0,0,0.0,6,0,4.920756432951506
16,0,0,0.0,6,0,5.04906873215034
17,0,0,0.0,6,0,5.021295122808131
18,1,2,0.0,7,0,3.9309671605405905
19,2,4,0.125,8,0,3.308980404844309
20,1,2,0.25,8,0,3.2496792385201756
21,2,3,0.5,8,0,3.402750036811349
22,2,3,0.75,8,0,3.711757153084554
23,2,3,1.0,8,0,3.7675794684503106
24,3,5,1.1111111111111112,9,0,3.378221616867739
25,4,7,1.3,10,0,3.0863725892952885
26,3,5,1.6,10,0,2.924018255434697
27,3,5,1.9,10,0,2.4317337288688052
28,4,6,2.3,10,0,1.966495197524018
29,6,10,2.5454545454545454,11,0,2.0223268777760515
30,7,11,2.8333333333333335,12,0,2.061561485323711
31,7,11,3.076923076923077,13,0,1.894005960529474
32,6,9,3.5384615384615383,13,0,1.7754049005103547
33,6,9,4.0,13,0,1.6659447300439996
34,7,11,4.538461538461538,13,0,1.5068771057418529
35,8,13,4.714285714285714,14,0,1.310868046911873
36,8,13,5.285714285714286,14,0,1.5413596242757346
37,9,15,5.466666666666667,15,0,1.6391851262255637
38,8,13,6.0,15,0,1.5906872200411428
39,9,15,6.125,16,0,1.4232745705392782
40,10,17,6.294117647058823,17,0,1.4422127337387227
41,9,15,6.823529411764706,17,0,1.5779416544640097
42,10,17,6.944444444444445,18,0,1.5466657140361342
43,9,15,7.444444444444445,18,0,1.7502250455610247
44,11,19,7.578947368421052,19,0,1.900459096506201
45,10,17,8.105263157894736,19,0,1.9965883055834506
46,11,19,8.2,20,0,1.8922662601935738
47,10,17,8.7,20,0,2.122968014973316
48,11,19,9.25,20,0,2.2541527108790267
