step,waiting_vehicles,avg_speed,queue_length,throughput,phase_index,phase_name
295,10,8.33,10,0,0,East-West Straight+Right
296,10,8.33,10,0,0,East-West Straight+Right
297,10,8.33,10,2,0,East-West Straight+Right
298,10,8.33,10,3,0,East-West Straight+Right
299,10,8.33,10,0,0,East-West Straight+Right
300,10,8.33,10,2,0,East-West Straight+Right
301,10,8.33,10,0,0,East-West Straight+Right
302,10,8.33,10,2,0,East-West Straight+Right
303,10,8.33,10,1,0,East-West Straight+Right
304,10,8.33,10,1,0,East-West Straight+Right
305,10,8.33,10,2,0,East-West Straight+Right
306,10,8.33,10,0,0,East-West Straight+Right
307,10,8.33,10,0,0,East-West Straight+Right
308,10,8.33,10,0,0,East-West Straight+Right
309,10,8.33,10,1,0,East-West Straight+Right
310,10,8.33,10,0,1,East-West Yellow
311,10,8.33,10,0,1,East-West Yellow
312,10,8.33,10,0,1,East-West Yellow
313,10,8.33,10,0,1,East-West Yellow
314,10,8.33,10,0,1,East-West Yellow
315,8,8.37,8,0,2,East-West Left
316,6,8.40,6,0,2,East-West Left
317,5,8.47,5,0,2,East-West Left
318,4,8.54,4,0,2,East-West Left
319,3,8.64,3,0,2,East-West Left
320,3,8.72,3,0,2,East-West Left
321,3,9.91,3,0,2,East-West Left
322,3,9.96,3,0,2,East-West Left
323,3,10.01,3,0,2,East-West Left
324,3,10.04,3,0,2,East-West Left
325,3,10.07,3,0,2,East-West Left
326,3,10.11,3,0,2,East-West Left
327,3,10.13,3,0,2,East-West Left
328,3,10.22,3,0,2,East-West Left
329,3,10.28,3,0,2,East-West Left
330,3,11.11,3,0,2,East-West Left
331,3,11.11,3,1,2,East-West Left
332,3,11.11,3,1,2,East-West Left
333,3,11.11,3,1,2,East-West Left
334,3,11.11,3,1,2,East-West Left
335,3,11.11,3,0,2,East-West Left
336,3,11.11,3,0,2,East-West Left
337,3,11.11,3,1,2,East-West Left
338,3,11.11,3,0,2,East-West Left
339,3,11.11,3,1,2,East-West Left
340,3,11.11,3,0,2,East-West Left
341,3,11.11,3,1,2,East-West Left
342,3,11.11,3,0,2,East-West Left
343,3,11.11,3,0,2,East-West Left
344,3,11.11,3,0,2,East-West Left
345,3,11.11,3,0,3,East-West Left Yellow
346,3,11.11,3,0,3,East-West Left Yellow
347,3,11.11,3,0,3,East-West Left Yellow
348,3,11.11,3,0,3,East-West Left Yellow
349,3,11.11,3,0,3,East-West Left Yellow
350,1,11.19,1,0,4,North-South Straight+Right
351,0,12.57,0,0,4,North-South Straight+Right
352,0,12.58,0,0,4,North-South Straight+Right
353,0,12.66,0,0,4,North-South Straight+Right
354,0,12.78,0,0,4,North-South Straight+Right
355,0,13.89,0,0,4,North-South Straight+Right
356,0,13.89,0,0,4,North-South Straight+Right
357,0,13.89,0,0,4,North-South Straight+Right
358,0,13.89,0,0,4,North-South Straight+Right
359,0,13.89,0,0,4,North-South Straight+Right
360,0,13.89,0,0,4,North-South Straight+Right
361,0,13.89,0,0,4,North-South Straight+Right
362,0,13.89,0,0,4,North-South Straight+Right
363,0,13.89,0,0,4,North-South Straight+Right
364,0,13.89,0,0,4,North-South Straight+Right
365,0,13.89,0,1,4,North-South Straight+Right
366,0,13.89,0,1,4,North-South Straight+Right
367,0,13.89,0,0,4,North-South Straight+Right
368,0,13.89,0,1,4,North-South Straight+Right
